6	20	6	21						
40	13	5	28	14	38	27			
7	29	45	29	4					
5	34	9	44						
37	13	6	6						
15	20	13	13	45	47				
45	9								
20	15	21	9	29	27				
20	20	9	46	21					
20	6	20	21	27					
9	20	15	20	45	44				
20	44	38	38	21					
20	6	9	38						
28	23	6	9						
47	20	4	16	31	24				
21	21								
47	20	17	23	23					
47	4	20							
47	45	17	25						
20	19	14	36	33					
6	7	26	44						
20	20	6	9	34	21				
20	13	16	16	39					
20	21	6	9						
27	5								
7	21	2	7	29					
20	6	20	9	38	21				
38	12	20	38	9	13				
6	17	16	31						
6	6	18							
6		9	23						
20	17	4	8	33					
6	45	35	27	9					
20	9	38	21						
6	23	45	27	9					
20	21	8	33						
23	20	39	15	6	9				
5	38	23							
15	6	38	45						
6	31	43							
20	42	42	44						
6	45	13							
25	13	6	13	24					
17	33	45	15						
6	6	31	47	15	38	44	42		
42	42	16	9						
4	4	23							
47	6	31	25	24	44				
47	15	47	20						
20	47	15	25						
20	26	44	21						
20	13	6	9	5	26	44			
20	38								
6	45								
6	33	15	6	9	23				
20	15	6	44	9	38				
20	9			39					
6	23	9							
6	34	6	23						
6	44	21	38						
20	6	27	9	44	21				
4	4	26	4	21					
7	4	11	5	26					
7	44	43	39	30	33	9	11		
20	11	24	9						
20	26	44	21						
8	36	47	4	2	29	8	20		
6	23	9							
25	23	2	38						
20	9	7	23						
20	16	45	6						
7	4	4	4	7					
4	6	44	18						
6	44	23							
4	4	26	31	4	44	34			
11	23	13	44	29	5	38	23	21	
20	18	27	34	46	21				
6	44	6	45	23	9				
42	6	38	33						
39	21	6	45						
6	20	7	4	9	13				
6	6	44	34						
6	7	6	23						
6	23	44	33						
33	21	33	3	23	43				
4	47	24	4						
4	43	24	4	11					
6	20	20	9	6	21	34			
42	6	13	16	45	13	16	42		
13	20	21	13	29	39				
45	29	10							
47	47	45	6	38	9	25			
20	21	45	1	9	39				
7	33	4	4						
47	47	1	25						
33	6								
20	8	36	45						
33	34	6	44						
20	6	45	21						
7	5	34	35	26	38				
6	6	33	23	34	23				
33	2	29	7						
4	7	33	6	9	26				
34									
11	43	14	38	5					
20	17	9	38	16	20				
13	20	6	34						
6	34								
17	16	6	16	20	35				
13	24	37	13						
20	5	33	25	23	24				
23	14	6	38	11	33				
6	13	24							
33	4	6	45	18	7	38			
33	7	4	6	38	45	18			
20	38	9	23						
20	39	4	6	45					
6	45								
20	15	6	45	47					
6	45								
5	33	42	42						
17	17	15	9	16	17				
34	45	23	6	23	38				
15	45	9	38						
20	6	9	38						
4	4	18	6	38					
4	1	45							
4	4	18	28						
33	47	20	4						
20	21	6	6	9	38				
20	9	13	13						
8	43	38	8	11	13				
20	6	13	27	9	38	34			
14	9	45	11						
20	15	29	21	13	9				
15	20	9	38	21	45				
42	17	45	44						
20	9	6	13						
6	44	38	22						
20	6	6	15						
20	5	34	33						
17	42	23	29	23					
6	44	45	9						
20	9	38							
20	46	27	21						
23	22	5	13	22	23				
20	45	6	39						
20	9	15	45						
6	45	29	29						
4	18	6	41	4	13	13	34		
23	6								
20	9	43	6	16	38				
33	23	6	44						
9	43	29	47	45	14				
45	6	13							
40	20	9	38	23	23				
6	23	27							
6	44	45	22	29					
6	23	44	9						
15	6	6	45						
20	21	31	45						
20	20	38	6	45	21				
20	6	38							
7	44	21	29	27	46				
20	9	6	46						
33	28								
20	34	27	46						
4	7	47	42	2	11				
47	6	45	39						
45	38	6	44						
47	47	47	24						
20	11	16							
15	45	6	23						
29	4	4							
47	11	47	5	7	20				
20	15	6	44						
23	6								
16	42	29	16	45	42				
47	44	47	17						
4	21	20	4	27	46				
20	14	6	5	23	9				
20	8	4	36	9					
26	33	5	43	8	33				
42	38	9	17						
20	9	38	6						
23	21	16	5	23					
20	38	44	27	9	23				
13	13	23	6	9					
4	7								
47	20	9	25						
47	4	47							
6	23	34	13	9	44				
20	9	21							
5	27								
47	4	47	18	32	17				
47	6	13	34	24	20				
6	6	34	23						
20	15	9	5						
6	44	47	1						
6	44	6	38						
29	45	29							
6	24	6							
6	13	29							
20	21	6	44	38					
6	33								
29	6	45	44	29					
17	17	20	17	34					
20	5	9	27	6	45				
20	5	23	17						
6	13	9	38	33					
20	4	4	26						
7	4	26	44	6	38				
33	33								
33	43	13	20	5	11	38			
20	6	13	34						
6	23	27							
4	4	4							
6	38	37	34						
20	6	38	23						
6	9	38	27	34					
13	37	20	9						
6	6								
29	45	29	29	44	21	29			
44	33	7	21	17	26				
20	17	34	44	9	23				
21	4	18	6						
20	9		22						
26	44	11	35	5	20				
4	7	20	5	9	10	4	33	7	36
23	13	9	38	40					
15	20	45	38						
20	29								
32	4	20	2						
5	7	34							
33	4	23	33						
20	6								
6	1								
6	33	20	6	33	44				
9	27	21	5						
4	18	34	31						
13	9	27	38						
20	47	23	9	15	39				
13	33	5	33						
6	34	44	38	22	33				
6	44	6	33						
5	43	9	27	5					
9	27								
33	6	4	18						
4	4								
4	6	9	18						
20	20	6	13	9	38				
13	5	38	9	13					
29	45	29							
7	23	9	4						
6	33	15	17	12	15	32	33	44	
25	33	13	24						
20	21	7	5	6	34				
6	31	9	38						
15	6	9	38						
6	38	24	6	23					
6	9	38	31						
24	20	5	23	20					
6	33	45	13						
6	13	9	6	38	38				
4	43	34	37						
39	2	20	21	15	9				
33	5	23	23						
29	47	2	29						
4	47	45	6	38					
15	20	13	9	1	45				
6	47	20	21						
15	9	36	6						
6	13	9							
20	9	15							
20	15	6	23	20	46				
20	15	6							
42	11	26	1	33					
6	44	18							
